,p_id,p_name,p_href,p_level,p_answer_people,try_count,category
19189,2062,곱하기 게임,https://www.acmicpc.net/problem/2062,15,12,6.92,
19190,2066,카드놀이,https://www.acmicpc.net/problem/2066,15,157,1.96,
19191,2070,목걸이 수열,https://www.acmicpc.net/problem/2070,15,34,2.71,
19192,2079,팰린드롬,https://www.acmicpc.net/problem/2079,15,481,2.20,
19193,2086,피보나치 수의 합,https://www.acmicpc.net/problem/2086,15,"1,142",2.88,
19194,2087,암호문,https://www.acmicpc.net/problem/2087,15,125,3.05,
19195,2088,트리의 개수,https://www.acmicpc.net/problem/2088,15,43,2.58,
19196,2098,외판원 순회,https://www.acmicpc.net/problem/2098,15,"8,342",3.67,
19197,2099,The game of death,https://www.acmicpc.net/problem/2099,15,328,2.41,
19198,2129,드라이브 파이널,https://www.acmicpc.net/problem/2129,15,14,6.79,
19199,2130,수조,https://www.acmicpc.net/problem/2130,15,90,5.27,
19200,2136,개미,https://www.acmicpc.net/problem/2136,15,417,3.11,
19201,2142,정돈된 배열,https://www.acmicpc.net/problem/2142,15,84,2.70,
19202,2144,울타리 넘기,https://www.acmicpc.net/problem/2144,15,7,2.00,
19203,2213,트리의 독립집합,https://www.acmicpc.net/problem/2213,15,"2,491",2.05,
19204,2245,배열 정리하기,https://www.acmicpc.net/problem/2245,15,25,3.60,
19205,2263,트리의 순회,https://www.acmicpc.net/problem/2263,15,"7,987",3.06,
19206,2268,수들의 합 7,https://www.acmicpc.net/problem/2268,15,"2,854",3.29,
19207,2274,Conflicting Strings,https://www.acmicpc.net/problem/2274,15,3,6.33,
19208,2275,트리의 높이 줄이기,https://www.acmicpc.net/problem/2275,15,69,2.42,
19209,2278,그래프 복원,https://www.acmicpc.net/problem/2278,15,21,6.48,
19210,2287,모노디지털 표현,https://www.acmicpc.net/problem/2287,15,257,3.15,
19211,2305,자리 배치,https://www.acmicpc.net/problem/2305,15,322,2.40,
19212,2307,도로검문,https://www.acmicpc.net/problem/2307,15,901,2.76,
19213,2320,끝말잇기,https://www.acmicpc.net/problem/2320,15,330,2.50,
19214,2339,석판 자르기,https://www.acmicpc.net/problem/2339,15,563,2.80,
19215,2357,최솟값과 최댓값,https://www.acmicpc.net/problem/2357,15,"8,825",1.93,
19216,2364,담장 너머로,https://www.acmicpc.net/problem/2364,15,22,1.68,
19217,2369,행렬의 부분합,https://www.acmicpc.net/problem/2369,15,56,2.34,
19218,2395,순열의 개수,https://www.acmicpc.net/problem/2395,15,13,4.77,
19219,2398,3인통화,https://www.acmicpc.net/problem/2398,15,216,2.54,
19220,2423,전구를 켜라,https://www.acmicpc.net/problem/2423,15,394,2.65,
19221,2461,대표 선수,https://www.acmicpc.net/problem/2461,15,785,2.22,
19222,2464,비밀번호,https://www.acmicpc.net/problem/2464,15,396,3.68,
19223,2536,버스 갈아타기,https://www.acmicpc.net/problem/2536,15,655,3.60,
19224,2652,블록맞추기,https://www.acmicpc.net/problem/2652,15,30,5.53,
19225,2658,직각이등변삼각형찾기,https://www.acmicpc.net/problem/2658,15,293,4.36,
